time,oscillator_id,send_count,cycle_index,phase_ms,selected_run_index,selection
197449.95315349702,0,40,40,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
198097.43276859465,1,40,40,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
198720.50370160773,4,40,40,2055.503701607726,3,"KURAMOTO N=5 K=10, PER=0"
201644.6356271011,2,41,40,4979.635627101088,3,"KURAMOTO N=5 K=10, PER=0"
201748.3643728989,3,41,41,83.36437289891182,3,"KURAMOTO N=5 K=10, PER=0"
202449.95315349702,0,41,41,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
203097.43276859465,1,41,41,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
203724.03065451508,4,41,41,2059.0306545150816,3,"KURAMOTO N=5 K=10, PER=0"
206643.98572423685,2,42,41,4978.985724236845,3,"KURAMOTO N=5 K=10, PER=0"
206749.01427576315,3,42,42,84.01427576315473,3,"KURAMOTO N=5 K=10, PER=0"
207449.95315349702,0,42,42,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
208097.43276859465,1,42,42,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
208727.57328050886,4,42,42,2062.573280508863,3,"KURAMOTO N=5 K=10, PER=0"
211643.32772460664,2,43,42,4978.327724606643,3,"KURAMOTO N=5 K=10, PER=0"
211749.67227539336,3,43,43,84.67227539335727,3,"KURAMOTO N=5 K=10, PER=0"
212449.95315349702,0,43,43,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
213097.43276859465,1,43,43,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
213731.1315791827,4,43,43,2066.131579182693,3,"KURAMOTO N=5 K=10, PER=0"
216642.66152912605,2,44,43,4977.661529126053,3,"KURAMOTO N=5 K=10, PER=0"
216750.33847087395,3,44,44,85.33847087394679,3,"KURAMOTO N=5 K=10, PER=0"
217449.95315349702,0,44,44,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
218097.43276859465,1,44,44,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
218734.70554888388,4,44,44,2069.7055488838814,3,"KURAMOTO N=5 K=10, PER=0"
221641.9870375662,2,45,44,4976.987037566199,3,"KURAMOTO N=5 K=10, PER=0"
221751.0129624338,3,45,45,86.01296243380057,3,"KURAMOTO N=5 K=10, PER=0"
222449.95315349702,0,45,45,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
223097.43276859465,1,45,45,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
223738.295186697,4,45,45,2073.2951866970106,3,"KURAMOTO N=5 K=10, PER=0"
226641.30414854307,2,46,45,4976.304148543073,3,"KURAMOTO N=5 K=10, PER=0"
