time,oscillator_id,send_count,cycle_index,record_type,action,carrier_sense_start,carrier_sense_end,blocking_oscillator_id,blocking_transmission_start,blocking_transmission_end,min_gap_rad,new_max_abs_dev,new_mean_abs_dev,selected_run_index,highlighted_device
862152.8196282414,19,173.0,173,send,,,,,,,,,,0,20
862256.5238900684,42,173.0,173,send,,,,,,,,,,0,20
862361.3148463545,31,172.0,173,send,,,,,,,,,,0,20
862466.7142786882,27,173.0,173,send,,,,,,,,,,0,20
862563.5624994,7,173.0,173,send,,,,,,,,,,0,20
862677.9014175298,17,173.0,173,send,,,,,,,,,,0,20
862778.9618772311,14,173.0,173,send,,,,,,,,,,0,20
862887.8961499233,38,173.0,173,send,,,,,,,,,,0,20
863002.4135240586,20,57.0,173,send,,,,,,,,,,0,20
863107.6313193713,10,173.0,173,send,,,,,,,,,,0,20
863226.5518566497,48,173.0,173,send,,,,,,,,,,0,20
863335.3671268087,34,173.0,173,send,,,,,,,,,,0,20
863453.7201936524,1,173.0,173,send,,,,,,,,,,0,20
863562.8229743269,40,173.0,173,send,,,,,,,,,,0,20
863681.1487542638,15,173.0,173,send,,,,,,,,,,0,20
863793.8114520088,36,165.0,173,send,,,,,,,,,,0,20
863914.43268967,43,138.0,173,send,,,,,,,,,,0,20
864034.6617739019,45,173.0,173,send,,,,,,,,,,0,20
864145.2302994085,18,173.0,173,send,,,,,,,,,,0,20
864258.9885442074,47,173.0,173,send,,,,,,,,,,0,20
864363.9592506639,32,173.0,173,send,,,,,,,,,,0,20
864478.7802178867,5,173.0,173,send,,,,,,,,,,0,20
864593.3191681633,44,173.0,173,send,,,,,,,,,,0,20
864701.97525899,9,164.0,173,send,,,,,,,,,,0,20
864810.0097693691,11,173.0,173,send,,,,,,,,,,0,20
864918.3826349124,30,173.0,173,send,,,,,,,,,,0,20
865018.4977898009,13,173.0,173,send,,,,,,,,,,0,20
865118.3686267424,4,173.0,173,send,,,,,,,,,,0,20
865218.2517229795,25,173.0,173,send,,,,,,,,,,0,20
865310.2623021798,35,167.0,173,send,,,,,,,,,,0,20
865394.7909507392,28,161.0,173,send,,,,,,,,,,0,20
865487.1973597127,21,146.0,173,send,,,,,,,,,,0,20
865571.9719670467,22,173.0,173,send,,,,,,,,,,0,20
865664.1248412468,16,122.0,174,send,,,,,,,,,,0,20
865748.4964208191,2,102.0,174,send,,,,,,,,,,0,20
865832.4321831635,6,174.0,174,send,,,,,,,,,,0,20
865909.6988000894,39,174.0,174,send,,,,,,,,,,0,20
865993.7322368543,41,174.0,174,send,,,,,,,,,,0,20
866084.4651896894,24,134.0,174,send,,,,,,,,,,0,20
866168.4238104442,29,73.0,174,send,,,,,,,,,,0,20
866253.1366992967,12,174.0,174,send,,,,,,,,,,0,20
866340.8137671733,49,167.0,174,send,,,,,,,,,,0,20
866435.7159221973,37,150.0,174,send,,,,,,,,,,0,20
866530.3133721126,46,143.0,174,send,,,,,,,,,,0,20
866632.8244130246,26,174.0,174,send,,,,,,,,,,0,20
866735.3929053191,33,174.0,174,send,,,,,,,,,,0,20
866837.6595349156,0,174.0,174,send,,,,,,,,,,0,20
866940.5515422778,3,172.0,174,send,,,,,,,,,,0,20
867053.1504882762,8,174.0,174,send,,,,,,,,,,0,20
867148.2713759196,19,174.0,174,send,,,,,,,,,,0,20
867261.0721423902,42,174.0,174,send,,,,,,,,,,0,20
867365.9104844609,31,173.0,174,send,,,,,,,,,,0,20
867462.4651789734,27,174.0,174,send,,,,,,,,,,0,20
867567.8115991148,7,174.0,174,send,,,,,,,,,,0,20
867673.4684845919,17,174.0,174,send,,,,,,,,,,0,20
