coupling_function,coupling_parameter,alpha,window_mode,device_count,run_index,run_id,expected_packets,actual_packets,successful_packets,raw_send_packets,simultaneous_collision_count,overall_per_percent,ttu_cycle,max_convergence_cycle,mingap_convergence_cycle,aux_mean_convergence_cycle,max_converged,mingap_converged,aux_mean_converged,final_10_cycle_new_mean_abs_dev,final_10_cycle_new_max_abs_dev,final_10_cycle_min_gap_median,epsilon_tolerance_rad,minimum_collision_free_gap_rad,carrier_sense_duration_ms,airtime_ms,occupied_time_ms,backoff_retry_total,retry_exhausted_abandon_total,csma_w0_ms,csma_w_max_ms,csma_max_retries
CSMA_CA,0,0,fixed_anchor,5,20,csma_ca_0020,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.8424494859866393,2.1061237149665986,0.047752208334565616,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,21,csma_ca_0021,900,900,900,900,0,0.0,10.0,1.0,1,1.0,True,True,True,0.6026831346646657,1.1736990153811462,0.2890265241302612,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,22,csma_ca_0022,900,900,900,900,0,0.0,10.0,1.0,1,1.0,True,True,True,0.386038905273114,0.5692565888304708,0.7652919704144734,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,23,csma_ca_0023,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.8570264758992957,2.1425661897482398,0.3292389100962103,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,24,csma_ca_0024,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.7429238307209144,1.6298582686823848,0.4737521721613409,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,25,csma_ca_0025,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.9922406237098004,1.8133272796520288,0.06283185307179551,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,26,csma_ca_0026,900,900,900,900,0,0.0,11.0,1.0,1,1.0,True,True,True,0.7876601101080329,1.0191326568245287,0.23750440461138833,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,27,csma_ca_0027,900,884,884,884,0,1.7777777777777777,34.0,,1,1.0,False,True,True,1.2139491004589391,2.288336088874806,0.05223373776248463,1.224537524338598,0.03209953709731907,5,20.544,25.544,474,16,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,28,csma_ca_0028,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,1.2083821982767782,1.8811856809695686,0.1281769802664634,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,29,csma_ca_0029,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,1.1440423807312592,2.6339112807696834,0.0640884901332317,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,30,csma_ca_0030,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.5840849061554144,1.4602122653885363,0.7087433026498573,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,31,csma_ca_0031,900,900,900,900,0,0.0,10.0,1.0,1,1.0,True,True,True,0.6499326881746562,1.2076282160399163,0.04900884539600092,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,32,csma_ca_0032,900,900,900,900,0,0.0,10.0,1.0,1,1.0,True,True,True,0.4709875706261813,1.0580884057290416,0.19854865570687563,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,33,csma_ca_0033,900,900,900,900,0,0.0,11.0,,1,1.0,False,True,True,0.7675539171250583,1.4149733311768427,0.27394687939303,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
