cycle_index,min_gap_rad,new_max_abs_dev,new_mean_abs_dev,function,K,run_index,selected_for_median
115,0.06649101763598608,0.06729334177999319,0.028758012053826176,KURAMOTO,500,9,True
116,0.059770147305312715,0.09215117517018562,0.030335461325623543,KURAMOTO,500,9,True
117,0.05118066157383083,0.09833933758091201,0.03311184541131254,KURAMOTO,500,9,True
118,0.04912520844096813,0.08362696032473921,0.03360240981713202,KURAMOTO,500,9,True
119,0.06172358057161542,0.0730859436601296,0.028250870908548213,KURAMOTO,500,9,True
120,0.05804243664534159,0.07196398626702843,0.02984662612938532,KURAMOTO,500,9,True
121,0.05729715392033645,0.07814872169647974,0.03050619417000566,KURAMOTO,500,9,True
122,0.06035991380429123,0.09701983165773681,0.033914684877324304,KURAMOTO,500,9,True
123,0.05836813680369435,0.1031278626717162,0.026667123953399065,KURAMOTO,500,9,True
124,0.047268016512326844,0.10756398810091211,0.03394120325684371,KURAMOTO,500,9,True
125,0.059555212996257545,0.06610849314733419,0.030029612397841642,KURAMOTO,500,9,True
126,0.04873808728699114,0.07954284469445744,0.029139707939399094,KURAMOTO,500,9,True
127,0.06264463810992993,0.10157852223980662,0.03367806783074356,KURAMOTO,500,9,True
128,0.052066743498910384,0.07933162089395296,0.029396357192209743,KURAMOTO,500,9,True
129,0.054880351563594054,0.07086136076068689,0.027623144891719572,KURAMOTO,500,9,True
130,0.05521256610098246,0.07983372488893814,0.03103322639403453,KURAMOTO,500,9,True
131,0.04202441310418514,0.08363929303940659,0.040990494259872674,KURAMOTO,500,9,True
132,0.06842135927203152,0.11164350955224495,0.026399972454835715,KURAMOTO,500,9,True
133,0.05849052198882421,0.09536546431915854,0.03276289627083007,KURAMOTO,500,9,True
134,0.059893211178954964,0.06577049496463677,0.027024184234248065,KURAMOTO,500,9,True
135,0.05048670568673619,0.0948631235699004,0.035158598354530855,KURAMOTO,500,9,True
136,0.05440234290974022,0.07206594810094619,0.031345216252056676,KURAMOTO,500,9,True
137,0.05363055440416531,0.0966612619401725,0.030782742996539447,KURAMOTO,500,9,True
138,0.0543817057804068,0.07901247415143292,0.03048812723056736,KURAMOTO,500,9,True
139,0.057222743454185654,0.09548037736332066,0.03245037137206631,KURAMOTO,500,9,True
140,0.04913154173283418,0.07653216441075755,0.02887503536284159,KURAMOTO,500,9,True
141,0.05534507841580716,0.1563835225397538,0.03405114436466709,KURAMOTO,500,9,True
142,0.06859186737208223,0.0820884384981106,0.030591720122561762,KURAMOTO,500,9,True
143,0.0518027569417403,0.09213430381391258,0.030672089906550085,KURAMOTO,500,9,True
144,0.050811304259437584,0.1127792524321693,0.031028405847576518,KURAMOTO,500,9,True
145,0.0642214949228963,0.10549183905178755,0.03170445085362851,KURAMOTO,500,9,True
