k,residual_median,residual_q1,residual_q3,n_runs
73.0,0.04086980635619245,0.040356970247046174,0.04271039856295414,492
74.0,0.041393463693084706,0.04088389239216343,0.04313327220382543,484
75.0,0.041992062217093555,0.041507773161664034,0.043710529796093744,487
76.0,0.0426409062529097,0.04213296336170298,0.04445602680675316,493
77.0,0.04309822061770978,0.0426810427956873,0.044474125749379444,485
78.0,0.04364442376048744,0.04323295925948059,0.04497961370595973,482
79.0,0.0442280404265427,0.043785538202286874,0.0456206357572172,493
80.0,0.04483443617407282,0.0443732753420802,0.04589680804143943,489
81.0,0.04540827818285298,0.04498009774542365,0.04650477499790641,493
82.0,0.045948425208531804,0.04553164385566748,0.04680727487759921,487
83.0,0.046558641849947666,0.04608419731646103,0.047280730204336506,487
84.0,0.04721876380524852,0.04672277378625493,0.04798846287646934,491
85.0,0.04776973217417639,0.04731788302473824,0.04846517797744036,489
86.0,0.0483325559681614,0.0478862364403086,0.04891571177936439,485
87.0,0.04892518564979756,0.048432824264980356,0.049519057033246744,486
88.0,0.04943707711548143,0.049026606041143894,0.05011846697783774,487
89.0,0.05008747833183186,0.049602674617191395,0.05069644614982475,490
90.0,0.05064396252102338,0.05020342744550503,0.05122107864692848,488
91.0,0.051232190629632454,0.05076426763642173,0.05184186863908792,484
92.0,0.0518023244232839,0.05137613550652827,0.05232066272502285,483
93.0,0.052440872360982084,0.05201110021046643,0.053017934480819554,484
94.0,0.053020361758829446,0.052521505997163785,0.05353192831588799,488
95.0,0.053659119170790234,0.053197375159262594,0.05416593226047711,484
96.0,0.054240581277682234,0.05374076577868556,0.054805906750596545,488
97.0,0.054857469327051635,0.0543712050051981,0.05539726404878233,488
98.0,0.05539622735964968,0.05496210266594305,0.05588449918413467,487
99.0,0.05594784867406821,0.055540727526946464,0.056449468317461685,485
100.0,0.05667110740178701,0.05616809694188493,0.057182830494686795,487
101.0,0.057183369351863286,0.05675298319988408,0.057725716998068916,484
102.0,0.05786432925934939,0.05738062985274169,0.05839532605881169,489
103.0,0.05845304818335011,0.05800818451905243,0.058980494492927506,488
104.0,0.05921888972798415,0.058662080652956805,0.05975693251516175,490
105.0,0.05974883358782894,0.05927747239109965,0.06020303219910179,487
106.0,0.060397618766458994,0.05986813343130668,0.06085997234785639,486
107.0,0.06106471087303447,0.060553416134591614,0.061558297714621006,492
108.0,0.06163701036372976,0.061147800383697964,0.06216480611235621,483
109.0,0.06228049052162173,0.06180569854668302,0.06281071863380028,477
110.0,0.06292609657011612,0.062429628534454586,0.06345995585999961,487
111.0,0.06356169913115457,0.06301061692466392,0.06401542131082577,483
112.0,0.06427044081059999,0.06368410370444548,0.06468216794974445,488
