k,residual_median,residual_q1,residual_q3,residual_3min_median,residual_3min_q1,residual_3min_q3,n_runs
82.0,0.04964060059994715,0.04862862477931312,0.05184959296731513,0.050655630447962036,0.048079455969892444,0.05412338325400553,496
83.0,0.05005952843383574,0.049109536623854144,0.05206184950276274,0.0510578233941031,0.04833731501281706,0.054642671772715055,492
84.0,0.05058320831283443,0.049395821986108174,0.05245256665346397,0.051404032178174616,0.04891517502366421,0.05464509465038264,495
85.0,0.05101423848862653,0.05009544788760563,0.052821010022918065,0.05177202301650819,0.0491611725343605,0.055114244461581134,492
86.0,0.05160462922035417,0.050582790768276334,0.05314964078164961,0.05202073980693955,0.04947677000342534,0.05566883010670985,493
87.0,0.05203561996912992,0.05112308256475728,0.053456141996927324,0.05228200330795064,0.04982881689184922,0.05622281996917789,491
88.0,0.05260568940601085,0.05157612019366228,0.05382693474261411,0.05275263017895084,0.05019400483718153,0.05621324727217192,493
89.0,0.053052400714438494,0.0521313900206307,0.0544367176016239,0.053160217490278515,0.05061465245103064,0.056621131249069756,490
90.0,0.05357086443209745,0.0524780846042853,0.0548785493805531,0.05355188758271047,0.051034547785860335,0.056702454281295445,492
91.0,0.054064380472384474,0.05305580324318076,0.05531282288265627,0.05374245647351685,0.05137254500890629,0.05692411431920435,494
92.0,0.054586012909755864,0.05354352775636589,0.05591130434938084,0.05434865213788742,0.05198643018628163,0.05710082743021362,495
93.0,0.05525832495509049,0.054236063945767264,0.0563854401797403,0.05457183995499079,0.05241206837018257,0.057832228700160776,493
94.0,0.055581425865326536,0.05458899968442712,0.05677928355872943,0.055248388791213354,0.05282463416644481,0.05827459796049467,491
95.0,0.056215173234684314,0.05515533821058012,0.057209002559187205,0.05568530037969518,0.05312029593033557,0.058341633279251646,495
96.0,0.056782212135154365,0.05573864076677869,0.0578064475823308,0.05586843831494369,0.05329208062400366,0.0590186564740439,494
97.0,0.05721411816282305,0.0561717086116045,0.05816645598337102,0.05635330864705578,0.05371620427098374,0.059530758628936774,493
98.0,0.05766848145056005,0.05669196849025769,0.058875352399732864,0.0566934814257666,0.054298242029066655,0.05980112357993919,491
99.0,0.05829083713481299,0.05731217952198051,0.05936308415078393,0.0572167397695213,0.05462498212053605,0.0602090658746309,489
100.0,0.05886999366783097,0.057594238751073536,0.05991894567852217,0.057556856429249084,0.05522060550208668,0.06070709485624841,493
