function,label,k,time_to_usable_median,time_to_usable_q1,time_to_usable_q3,time_to_usable_median_min,time_to_usable_q1_min,time_to_usable_q3_min
LINEAR,Frog chorus,18.0,18.0,14.0,23.0,3.0,2.3333333333333335,3.8333333333333335
LINEAR,Frog chorus,19.0,17.0,14.0,23.0,2.8333333333333335,2.3333333333333335,3.8333333333333335
LINEAR,Frog chorus,20.0,17.0,14.0,22.0,2.8333333333333335,2.3333333333333335,3.6666666666666665
LINEAR,Frog chorus,21.0,17.0,14.0,21.0,2.8333333333333335,2.3333333333333335,3.5
LINEAR,Frog chorus,22.0,17.0,14.0,21.0,2.8333333333333335,2.3333333333333335,3.5
LINEAR,Frog chorus,23.0,16.0,13.0,20.0,2.6666666666666665,2.1666666666666665,3.3333333333333335
LINEAR,Frog chorus,24.0,16.0,13.0,19.75,2.6666666666666665,2.1666666666666665,3.2916666666666665
LINEAR,Frog chorus,25.0,16.0,13.0,19.0,2.6666666666666665,2.1666666666666665,3.1666666666666665
LINEAR,Frog chorus,26.0,15.0,13.0,19.0,2.5,2.1666666666666665,3.1666666666666665
LINEAR,Frog chorus,27.0,15.0,13.0,19.0,2.5,2.1666666666666665,3.1666666666666665
LINEAR,Frog chorus,28.0,15.0,13.0,18.0,2.5,2.1666666666666665,3.0
LINEAR,Frog chorus,29.0,15.0,13.0,19.0,2.5,2.1666666666666665,3.1666666666666665
LINEAR,Frog chorus,30.0,15.0,13.0,18.0,2.5,2.1666666666666665,3.0
LINEAR,Frog chorus,31.0,15.0,13.0,18.0,2.5,2.1666666666666665,3.0
LINEAR,Frog chorus,32.0,15.0,13.0,18.0,2.5,2.1666666666666665,3.0
LINEAR,Frog chorus,33.0,15.0,13.0,18.0,2.5,2.1666666666666665,3.0
LINEAR,Frog chorus,34.0,15.0,13.0,18.0,2.5,2.1666666666666665,3.0
LINEAR,Frog chorus,35.0,15.0,13.0,18.0,2.5,2.1666666666666665,3.0
LINEAR,Frog chorus,36.0,15.0,13.0,18.0,2.5,2.1666666666666665,3.0
LINEAR,Frog chorus,37.0,15.0,13.0,18.0,2.5,2.1666666666666665,3.0
