function,label,k,usable_rate_percent
NewSIN,NewSIN,48.0,98.0
NewSIN,NewSIN,49.0,98.2
NewSIN,NewSIN,50.0,98.4
NewSIN,NewSIN,51.0,98.0
NewSIN,NewSIN,52.0,98.4
NewSIN,NewSIN,53.0,98.4
NewSIN,NewSIN,54.0,98.6
NewSIN,NewSIN,55.0,98.0
NewSIN,NewSIN,56.0,97.8
NewSIN,NewSIN,57.0,98.2
NewSIN,NewSIN,58.0,98.6
NewSIN,NewSIN,59.0,97.8
NewSIN,NewSIN,60.0,98.2
NewSIN,NewSIN,61.0,98.2
NewSIN,NewSIN,62.0,98.2
NewSIN,NewSIN,63.0,97.6
NewSIN,NewSIN,64.0,98.8
NewSIN,NewSIN,65.0,99.4
NewSIN,NewSIN,66.0,98.4
NewSIN,NewSIN,67.0,97.6
NewSIN,NewSIN,68.0,98.0
NewSIN,NewSIN,69.0,98.4
NewSIN,NewSIN,70.0,97.0
NewSIN,NewSIN,71.0,97.2
NewSIN,NewSIN,72.0,97.4
NewSIN,NewSIN,73.0,97.4
NewSIN,NewSIN,74.0,97.2
NewSIN,NewSIN,75.0,97.8
NewSIN,NewSIN,76.0,98.6
NewSIN,NewSIN,77.0,98.0
NewSIN,NewSIN,78.0,98.2
NewSIN,NewSIN,79.0,98.4
NewSIN,NewSIN,80.0,98.2
NewSIN,NewSIN,81.0,97.2
NewSIN,NewSIN,82.0,98.8
NewSIN,NewSIN,83.0,97.4
NewSIN,NewSIN,84.0,97.6
NewSIN,NewSIN,85.0,98.0
NewSIN,NewSIN,86.0,98.0
NewSIN,NewSIN,87.0,97.8
NewSIN,NewSIN,88.0,96.8
NewSIN,NewSIN,89.0,97.4
NewSIN,NewSIN,90.0,96.6
NewSIN,NewSIN,91.0,97.2
NewSIN,NewSIN,92.0,97.2
NewSIN,NewSIN,93.0,97.2
NewSIN,NewSIN,94.0,96.8
NewSIN,NewSIN,95.0,96.6
NewSIN,NewSIN,96.0,96.6
NewSIN,NewSIN,97.0,96.2
NewSIN,NewSIN,98.0,96.0
NewSIN,NewSIN,99.0,96.2
NewSIN,NewSIN,100.0,97.2
NewSIN,NewSIN,101.0,95.8
NewSIN,NewSIN,102.0,95.4
NewSIN,NewSIN,103.0,96.0
NewSIN,NewSIN,104.0,95.2
NewSIN,NewSIN,105.0,95.6
NewSIN,NewSIN,106.0,95.6
NewSIN,NewSIN,107.0,95.2
NewSIN,NewSIN,108.0,94.4
NewSIN,NewSIN,109.0,95.2
NewSIN,NewSIN,110.0,95.8
NewSIN,NewSIN,111.0,97.2
NewSIN,NewSIN,112.0,94.6
NewSIN,NewSIN,113.0,94.6
NewSIN,NewSIN,114.0,94.0
NewSIN,NewSIN,115.0,91.2
NewSIN,NewSIN,116.0,93.0
NewSIN,NewSIN,117.0,92.4
NewSIN,NewSIN,118.0,92.8
NewSIN,NewSIN,119.0,92.4
NewSIN,NewSIN,120.0,90.4
NewSIN,NewSIN,121.0,89.0
NewSIN,NewSIN,122.0,90.4
NewSIN,NewSIN,123.0,87.0
NewSIN,NewSIN,124.0,86.8
NewSIN,NewSIN,125.0,82.6
NewSIN,NewSIN,126.0,85.0
NewSIN,NewSIN,127.0,82.8
NewSIN,NewSIN,128.0,85.6
NewSIN,NewSIN,129.0,82.8
NewSIN,NewSIN,130.0,81.4
NewSIN,NewSIN,131.0,76.4
NewSIN,NewSIN,132.0,76.8
NewSIN,NewSIN,133.0,74.0
NewSIN,NewSIN,134.0,70.8
NewSIN,NewSIN,135.0,68.2
NewSIN,NewSIN,136.0,61.4
NewSIN,NewSIN,137.0,62.8
NewSIN,NewSIN,138.0,62.0
NewSIN,NewSIN,139.0,57.8
NewSIN,NewSIN,140.0,55.0
NewSIN,NewSIN,141.0,53.0
NewSIN,NewSIN,142.0,49.4
NewSIN,NewSIN,143.0,45.6
NewSIN,NewSIN,144.0,44.0
NewSIN,NewSIN,145.0,40.0
NewSIN,NewSIN,146.0,35.8
NewSIN,NewSIN,147.0,32.2
NewSIN,NewSIN,148.0,31.4
NewSIN,NewSIN,149.0,26.8
NewSIN,NewSIN,150.0,27.4
