function,label,k,overall_per_mean
LINEAR,frog chorus based,95.0,4.667066666666667
LINEAR,frog chorus based,96.0,4.649844444444445
LINEAR,frog chorus based,97.0,4.773244444444445
LINEAR,frog chorus based,98.0,5.037911111111111
LINEAR,frog chorus based,99.0,4.997
LINEAR,frog chorus based,100.0,5.045266666666667
LINEAR,frog chorus based,101.0,5.148333333333333
LINEAR,frog chorus based,102.0,5.156755555555556
LINEAR,frog chorus based,103.0,5.266155555555555
LINEAR,frog chorus based,104.0,5.261044444444444
LINEAR,frog chorus based,105.0,5.254266666666666
LINEAR,frog chorus based,106.0,5.3552
LINEAR,frog chorus based,107.0,5.516488888888889
LINEAR,frog chorus based,108.0,5.558577777777778
LINEAR,frog chorus based,109.0,5.680622222222223
LINEAR,frog chorus based,110.0,5.877044444444445
LINEAR,frog chorus based,111.0,5.987844444444445
LINEAR,frog chorus based,112.0,5.980266666666666
LINEAR,frog chorus based,113.0,6.1796
LINEAR,frog chorus based,114.0,6.086644444444445
LINEAR,frog chorus based,115.0,6.302688888888889
LINEAR,frog chorus based,116.0,6.3857333333333335
LINEAR,frog chorus based,117.0,6.425800000000001
LINEAR,frog chorus based,118.0,6.661333333333334
LINEAR,frog chorus based,119.0,6.619244444444445
LINEAR,frog chorus based,120.0,6.792133333333333
LINEAR,frog chorus based,121.0,6.858155555555555
LINEAR,frog chorus based,122.0,7.028644444444444
LINEAR,frog chorus based,123.0,7.2208
LINEAR,frog chorus based,124.0,7.284133333333333
LINEAR,frog chorus based,125.0,7.313133333333333
LINEAR,frog chorus based,126.0,7.410955555555555
LINEAR,frog chorus based,127.0,7.613755555555556
LINEAR,frog chorus based,128.0,7.685
LINEAR,frog chorus based,129.0,7.8978
LINEAR,frog chorus based,130.0,7.963866666666666
LINEAR,frog chorus based,131.0,8.098044444444445
LINEAR,frog chorus based,132.0,8.295244444444444
LINEAR,frog chorus based,133.0,8.53208888888889
LINEAR,frog chorus based,134.0,8.648155555555556
LINEAR,frog chorus based,135.0,8.826866666666668
LINEAR,frog chorus based,136.0,8.906244444444445
LINEAR,frog chorus based,137.0,9.095422222222224
LINEAR,frog chorus based,138.0,9.342755555555556
LINEAR,frog chorus based,139.0,9.455511111111113
LINEAR,frog chorus based,140.0,9.647022222222224
LINEAR,frog chorus based,141.0,9.786444444444443
LINEAR,frog chorus based,142.0,9.777177777777776
LINEAR,frog chorus based,143.0,9.799955555555556
LINEAR,frog chorus based,144.0,10.091466666666667
LINEAR,frog chorus based,145.0,10.333066666666666
LINEAR,frog chorus based,146.0,10.484777777777778
LINEAR,frog chorus based,147.0,10.56182222222222
LINEAR,frog chorus based,148.0,10.80048888888889
LINEAR,frog chorus based,149.0,10.825955555555556
LINEAR,frog chorus based,150.0,11.042488888888888
LINEAR_4,modified frog chorus based,1.0,3.4762666666666666
LINEAR_4,modified frog chorus based,2.0,1.9049777777777777
LINEAR_4,modified frog chorus based,3.0,1.3112444444444442
LINEAR_4,modified frog chorus based,4.0,1.0136444444444446
LINEAR_4,modified frog chorus based,5.0,0.8380666666666668
LINEAR_4,modified frog chorus based,6.0,0.7264666666666667
LINEAR_4,modified frog chorus based,7.0,0.6498000000000003
LINEAR_4,modified frog chorus based,8.0,0.6094000000000003
LINEAR_4,modified frog chorus based,9.0,0.588355555555556
LINEAR_4,modified frog chorus based,10.0,0.5929777777777777
LINEAR_4,modified frog chorus based,11.0,0.618288888888889
LINEAR_4,modified frog chorus based,12.0,0.6674444444444448
LINEAR_4,modified frog chorus based,13.0,0.7013111111111113
LINEAR_4,modified frog chorus based,14.0,0.7720222222222224
LINEAR_4,modified frog chorus based,15.0,0.6529333333333336
LINEAR_4,modified frog chorus based,16.0,0.6721777777777779
LINEAR_4,modified frog chorus based,17.0,0.758466666666667
LINEAR_4,modified frog chorus based,18.0,0.799955555555556
LINEAR_4,modified frog chorus based,19.0,0.8559777777777778
LINEAR_4,modified frog chorus based,20.0,0.8988222222222223
LINEAR_4,modified frog chorus based,21.0,0.922355555555556
LINEAR_4,modified frog chorus based,22.0,0.9785111111111112
LINEAR_4,modified frog chorus based,23.0,0.9919111111111112
LINEAR_4,modified frog chorus based,24.0,1.037022222222222
LINEAR_4,modified frog chorus based,25.0,1.091466666666667
LINEAR_4,modified frog chorus based,26.0,1.1865555555555556
LINEAR_4,modified frog chorus based,27.0,1.2094666666666667
LINEAR_4,modified frog chorus based,28.0,1.2091555555555555
LINEAR_4,modified frog chorus based,29.0,1.2427777777777778
LINEAR_4,modified frog chorus based,30.0,1.375644444444445
LINEAR_4,modified frog chorus based,31.0,1.3313111111111116
LINEAR_4,modified frog chorus based,32.0,1.3772888888888892
LINEAR_4,modified frog chorus based,33.0,1.356777777777778
LINEAR_4,modified frog chorus based,34.0,1.4615777777777776
LINEAR_4,modified frog chorus based,35.0,1.400088888888889
LINEAR_4,modified frog chorus based,36.0,1.4261555555555558
