function,label,delta_rad,coupling_value
LINEAR_4,modified frog chorus based,-1.3264502315156903,0.6888888888888887
LINEAR_4,modified frog chorus based,-1.3177235852557188,0.6777777777777778
LINEAR_4,modified frog chorus based,-1.308996938995747,0.6666666666666665
LINEAR_4,modified frog chorus based,-1.3002702927357754,0.6555555555555554
LINEAR_4,modified frog chorus based,-1.2915436464758039,0.6444444444444446
LINEAR_4,modified frog chorus based,-1.2828170002158321,0.6333333333333333
LINEAR_4,modified frog chorus based,-1.2740903539558606,0.6222222222222222
LINEAR_4,modified frog chorus based,-1.2653637076958888,0.6111111111111109
LINEAR_4,modified frog chorus based,-1.2566370614359172,0.6000000000000001
LINEAR_4,modified frog chorus based,-1.2479104151759455,0.5888888888888888
LINEAR_4,modified frog chorus based,-1.239183768915974,0.5777777777777777
LINEAR_4,modified frog chorus based,-1.2304571226560022,0.5666666666666664
LINEAR_4,modified frog chorus based,-1.2217304763960306,0.5555555555555556
LINEAR_4,modified frog chorus based,-1.213003830136059,0.5444444444444445
LINEAR_4,modified frog chorus based,-1.2042771838760873,0.5333333333333332
LINEAR_4,modified frog chorus based,-1.1955505376161157,0.5222222222222221
LINEAR_4,modified frog chorus based,-1.186823891356144,0.5111111111111111
LINEAR_4,modified frog chorus based,-1.1780972450961724,0.5
LINEAR_4,modified frog chorus based,-1.1693705988362006,0.4888888888888887
LINEAR_4,modified frog chorus based,-1.160643952576229,0.47777777777777786
LINEAR_4,modified frog chorus based,-1.1519173063162573,0.46666666666666656
LINEAR_4,modified frog chorus based,-1.1431906600562858,0.4555555555555555
LINEAR_4,modified frog chorus based,-1.1344640137963142,0.4444444444444444
LINEAR_4,modified frog chorus based,-1.1257373675363427,0.43333333333333357
LINEAR_4,modified frog chorus based,-1.1170107212763707,0.42222222222222205
LINEAR_4,modified frog chorus based,-1.1082840750163991,0.411111111111111
LINEAR_4,modified frog chorus based,-1.0995574287564276,0.3999999999999999
LINEAR_4,modified frog chorus based,-1.090830782496456,0.38888888888888906
LINEAR_4,modified frog chorus based,-1.082104136236484,0.37777777777777755
LINEAR_4,modified frog chorus based,-1.0733774899765125,0.3666666666666665
LINEAR_4,modified frog chorus based,-1.064650843716541,0.3555555555555554
LINEAR_4,modified frog chorus based,-1.0559241974565694,0.34444444444444455
LINEAR_4,modified frog chorus based,-1.0471975511965979,0.3333333333333335
LINEAR_4,modified frog chorus based,-1.0384709049366259,0.32222222222222197
LINEAR_4,modified frog chorus based,-1.0297442586766543,0.3111111111111109
LINEAR_4,modified frog chorus based,-1.0210176124166828,0.30000000000000004
LINEAR_4,modified frog chorus based,-1.0122909661567112,0.288888888888889
LINEAR_4,modified frog chorus based,-1.0035643198967392,0.27777777777777746
LINEAR_4,modified frog chorus based,-0.9948376736367677,0.2666666666666664
LINEAR_4,modified frog chorus based,-0.9861110273767961,0.25555555555555554
LINEAR_4,modified frog chorus based,-0.9773843811168246,0.24444444444444446
LINEAR_4,modified frog chorus based,-0.968657734856853,0.23333333333333361
LINEAR_4,modified frog chorus based,-0.959931088596881,0.22222222222222188
LINEAR_4,modified frog chorus based,-0.9512044423369095,0.21111111111111103
LINEAR_4,modified frog chorus based,-0.9424777960769379,0.19999999999999996
LINEAR_4,modified frog chorus based,-0.9337511498169664,0.1888888888888891
LINEAR_4,modified frog chorus based,-0.9250245035569944,0.17777777777777737
LINEAR_4,modified frog chorus based,-0.9162978572970228,0.16666666666666652
LINEAR_4,modified frog chorus based,-0.9075712110370513,0.15555555555555545
LINEAR_4,modified frog chorus based,-0.8988445647770797,0.1444444444444446
LINEAR_4,modified frog chorus based,-0.8901179185171082,0.13333333333333353
LINEAR_4,modified frog chorus based,-0.8813912722571362,0.12222222222222201
LINEAR_4,modified frog chorus based,-0.8726646259971647,0.11111111111111094
LINEAR_4,modified frog chorus based,-0.8639379797371931,0.10000000000000009
LINEAR_4,modified frog chorus based,-0.8552113334772216,0.08888888888888902
LINEAR_4,modified frog chorus based,-0.8464846872172496,0.0777777777777775
LINEAR_4,modified frog chorus based,-0.837758040957278,0.06666666666666643
LINEAR_4,modified frog chorus based,-0.8290313946973065,0.05555555555555558
LINEAR_4,modified frog chorus based,-0.8203047484373349,0.04444444444444451
LINEAR_4,modified frog chorus based,-0.8115781021773634,0.03333333333333344
LINEAR_4,modified frog chorus based,-0.8028514559173914,0.02222222222222192
LINEAR_4,modified frog chorus based,-0.7941248096574198,0.011111111111111072
LINEAR_4,modified frog chorus based,-0.7853981633974483,0.0
LINEAR_4,modified frog chorus based,-0.7766715171374767,-0.01111111111111096
LINEAR_4,modified frog chorus based,-0.7679448708775047,-0.022222222222222587
LINEAR_4,modified frog chorus based,-0.7592182246175332,-0.03333333333333355
LINEAR_4,modified frog chorus based,-0.7504915783575616,-0.04444444444444451
LINEAR_4,modified frog chorus based,-0.7417649320975901,-0.05555555555555547
LINEAR_4,modified frog chorus based,-0.7330382858376185,-0.06666666666666643
LINEAR_4,modified frog chorus based,-0.7243116395776465,-0.07777777777777806
LINEAR_4,modified frog chorus based,-0.715584993317675,-0.08888888888888902
LINEAR_4,modified frog chorus based,-0.7068583470577035,-0.09999999999999998
LINEAR_4,modified frog chorus based,-0.6981317007977319,-0.11111111111111094
LINEAR_4,modified frog chorus based,-0.6894050545377599,-0.12222222222222257
LINEAR_4,modified frog chorus based,-0.6806784082777884,-0.13333333333333353
LINEAR_4,modified frog chorus based,-0.6719517620178168,-0.1444444444444445
LINEAR_4,modified frog chorus based,-0.6632251157578453,-0.15555555555555545
LINEAR_4,modified frog chorus based,-0.6544984694978737,-0.16666666666666652
LINEAR_4,modified frog chorus based,-0.6457718232379017,-0.17777777777777803
LINEAR_4,modified frog chorus based,-0.6370451769779302,-0.188888888888889
LINEAR_4,modified frog chorus based,-0.6283185307179586,-0.19999999999999996
LINEAR_4,modified frog chorus based,-0.6195918844579871,-0.21111111111111103
LINEAR_4,modified frog chorus based,-0.6108652381980151,-0.22222222222222254
LINEAR_4,modified frog chorus based,-0.6021385919380435,-0.2333333333333335
LINEAR_4,modified frog chorus based,-0.593411945678072,-0.24444444444444446
LINEAR_4,modified frog chorus based,-0.5846852994181004,-0.25555555555555554
LINEAR_4,modified frog chorus based,-0.5759586531581289,-0.2666666666666665
LINEAR_4,modified frog chorus based,-0.5672320068981569,-0.277777777777778
LINEAR_4,modified frog chorus based,-0.5585053606381853,-0.288888888888889
LINEAR_4,modified frog chorus based,-0.5497787143782138,-0.30000000000000004
LINEAR_4,modified frog chorus based,-0.5410520681182422,-0.311111111111111
LINEAR_4,modified frog chorus based,-0.5323254218582703,-0.3222222222222225
LINEAR_4,modified frog chorus based,-0.5235987755982987,-0.3333333333333335
LINEAR_4,modified frog chorus based,-0.5148721293383272,-0.34444444444444455
LINEAR_4,modified frog chorus based,-0.5061454830783556,-0.3555555555555555
LINEAR_4,modified frog chorus based,-0.49741883681838406,-0.3666666666666665
LINEAR_4,modified frog chorus based,-0.48869219055841207,-0.377777777777778
LINEAR_4,modified frog chorus based,-0.4799655442984405,-0.38888888888888906
LINEAR_4,modified frog chorus based,-0.47123889803846897,-0.4
LINEAR_4,modified frog chorus based,-0.4625122517784974,-0.411111111111111
LINEAR_4,modified frog chorus based,-0.4537856055185254,-0.4222222222222225
LINEAR_4,modified frog chorus based,-0.4450589592585539,-0.43333333333333357
LINEAR_4,modified frog chorus based,-0.43633231299858233,-0.44444444444444453
LINEAR_4,modified frog chorus based,-0.4276056667386108,-0.4555555555555555
LINEAR_4,modified frog chorus based,-0.41887902047863923,-0.46666666666666645
LINEAR_4,modified frog chorus based,-0.41015237421866724,-0.4777777777777781
LINEAR_4,modified frog chorus based,-0.4014257279586957,-0.48888888888888904
LINEAR_4,modified frog chorus based,-0.39269908169872414,-0.5
LINEAR_4,modified frog chorus based,-0.3839724354387526,-0.511111111111111
LINEAR_4,modified frog chorus based,-0.3752457891787806,-0.5222222222222226
LINEAR_4,modified frog chorus based,-0.36651914291880905,-0.5333333333333335
