function,label,k,residual_median,residual_q1,residual_q3,n_runs
KURAMOTO,Kuramoto based,1121.0,0.0604517638934351,0.0588892592225113,0.0621052231507298,500
KURAMOTO,Kuramoto based,1131.0,0.0608029263132327,0.0594442324120211,0.0624490997784031,500
KURAMOTO,Kuramoto based,1141.0,0.0611808212426993,0.059601146462066,0.0628942978437371,500
KURAMOTO,Kuramoto based,1151.0,0.0614126741213473,0.0597101253450658,0.063024200557264,500
KURAMOTO,Kuramoto based,1161.0,0.0615175404480228,0.0599093391300531,0.0632606606329493,500
KURAMOTO,Kuramoto based,1171.0,0.0618865045139875,0.0603716768681063,0.0634174127715413,500
KURAMOTO,Kuramoto based,1181.0,0.0618638051644481,0.0603560900473071,0.0638633732424952,500
KURAMOTO,Kuramoto based,1191.0,0.062352772478268,0.0609043044404816,0.0639325506538518,500
KURAMOTO,Kuramoto based,1201.0,0.0624686251772061,0.0609451501703497,0.0641120803007003,500
KURAMOTO,Kuramoto based,1211.0,0.0626993991879034,0.0612574968864661,0.064454635928043,500
KURAMOTO,Kuramoto based,1221.0,0.0631054835451243,0.0613208885744669,0.0648221978138945,500
KURAMOTO,Kuramoto based,1231.0,0.0631788098742588,0.0616145059311678,0.0649706276100068,500
KURAMOTO,Kuramoto based,1241.0,0.0635124879872969,0.0618326256888158,0.0652963927652384,500
KURAMOTO,Kuramoto based,1251.0,0.0637222285849294,0.0620834919591156,0.0653993053430057,500
KURAMOTO,Kuramoto based,1261.0,0.0638275252331464,0.0623285507410287,0.0656228605073119,500
KURAMOTO,Kuramoto based,1271.0,0.064145102988089,0.0623993128333656,0.0657156924455568,500
KURAMOTO,Kuramoto based,1281.0,0.0642869026713778,0.0625733312484039,0.0661045672212499,500
KURAMOTO,Kuramoto based,1291.0,0.0642109384157349,0.0626290896084911,0.0661517448656497,500
KURAMOTO,Kuramoto based,1301.0,0.0642123149109424,0.062527595882875,0.0661441828057817,500
KURAMOTO,Kuramoto based,1311.0,0.0645535290507561,0.0631845704342919,0.0664479499278202,500
KURAMOTO,Kuramoto based,1321.0,0.0648938412072281,0.0632307536518871,0.0666005807706597,500
KURAMOTO,Kuramoto based,1331.0,0.0651481883539775,0.0632610213375715,0.0667709680510562,500
KURAMOTO,Kuramoto based,1341.0,0.0654477250532066,0.0634148553558675,0.0671408357413527,500
KURAMOTO,Kuramoto based,1351.0,0.0653081648238841,0.0635432524322374,0.0673924155869208,500
