coupling_function,device_count,k,run_index,run_id,selected_start_times,cycle_count,expected_packets,actual_packets,successful_packets,simultaneous_collision_count,overall_per_percent,ttu_cycle,ttu_reached,mean_convergence_cycle,mean_converged,max_convergence_cycle,max_converged,final_10_cycle_new_mean_abs_dev,final_10_cycle_new_max_abs_dev,epsilon_tolerance_rad,carrier_sense_duration_ms,airtime_ms,occupied_time_ms
KURAMOTO,5,2,12,019f655a-a32b-70c0-a64f-cdfdb63aa7dc_0012,2114;2339;1084;4292;4269,180,900,816,816,0,9.333333333333334,94.0,True,1.0,True,1.0,True,0.830725209958905,1.2163290206440778,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,13,019f655a-a32c-7658-ac63-b6fb7437b9e7_0013,480;2141;999;4367;2446,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.47835213929850184,1.0569180432884464,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,14,019f655a-a32d-7ffa-b28f-3c4e303b2b7e_0014,2649;4569;4050;1493;1965,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.5565286761811583,1.0533375759708439,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,15,019f655a-a32e-79fa-920a-5d1c41ec6e5b_0015,224;2606;3374;2676;2813,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,1.0539438365145295,1.7125579176042371,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,16,019f655a-a32f-7c77-b495-e893fe1c7f87_0016,200;2889;3586;184;1989,180,900,720,720,0,20.0,,False,1.0,True,1.0,True,0.5673716332383166,1.0115928344559137,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,17,019f655a-a330-7781-914d-4b3af150105e_0017,2720;4163;2859;1726;3158,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.7856494908097351,1.9641237270243377,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,18,019f655a-a331-7e6f-beb5-b405f95c74e4_0018,4609;4630;755;2627;1791,180,900,744,744,0,17.333333333333332,166.0,True,1.0,True,,False,0.5716397965660629,1.2332544112375856,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,19,019f655a-a332-75de-8bfe-806f1d9d3da0_0019,3962;891;2093;2763;1765,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.5365324362535262,1.1674158300739665,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,20,019f655a-a333-75f1-937d-698a07052ebc_0020,821;2515;13;1624;2267,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.7197815832178762,1.7994539580446909,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,21,019f655a-a334-75d5-888f-a221e366e579_0021,3160;2362;1489;4967;710,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.4056424434315141,1.014106108578785,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,22,019f655a-a335-70ca-b16b-18b50016954b_0022,3000;4228;2081;4911;3221,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.5881061447520091,1.4702653618800228,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,23,019f655a-a336-7822-a7c5-e2c3cf267e63_0023,2942;616;4242;222;4071,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.6697339969527681,1.5405245178931053,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,24,019f655a-a337-7163-9f95-4cbb5856af1b_0024,3156;2805;3319;3171;448,180,900,856,856,0,4.888888888888889,54.0,True,79.0,True,,False,1.1908932360286375,1.6045585142493697,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,25,019f655a-a338-76e0-b1f9-cac7b70df752_0025,3460;4811;441;2342;2841,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.5340400891941833,1.0459615605003847,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,26,019f655a-a339-7329-adb8-622138f87dfb_0026,4282;4800;2328;3628;4160,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.8090875706385294,1.7788486164374944,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,27,019f655a-a33a-7e0a-a7e5-2b03cbca6d70_0027,4317;4613;2158;1801;2985,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.6581521228458719,1.3475580879923208,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,28,019f655a-a33b-79c4-9542-26e04f00e9a3_0028,4614;3149;4287;2721;614,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.5119335651465111,1.2798339128662775,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,29,019f655a-a33c-77d7-b41b-419e502bda77_0029,3989;2986;4048;299;2618,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.7335757779734609,1.5388635527025134,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,30,019f655a-a33d-7dc0-ad98-4e581f04a0ae_0030,3147;4871;1141;6;992,180,900,900,900,0,0.0,10.0,True,1.0,True,143.0,True,0.8307685131181171,1.2133036961604626,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,31,019f655a-a33e-760b-b712-eb5281db9bf0_0031,2663;1670;483;875;1571,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.8911460433747358,2.234191071035976,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,32,019f655a-a33f-77dd-af00-40beef9f5ad4_0032,3950;2622;123;3845;4167,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.8511486437918998,1.8836989550924408,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,33,019f655a-a340-7ec0-b256-8b26a75149f2_0033,4238;316;3200;1215;837,180,900,900,900,0,0.0,10.0,True,1.0,True,24.0,True,0.47872884855043935,1.1167154518451947,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,34,019f655a-a341-737c-bc11-ea90d6944e2f_0034,1267;300;4635;2218;3549,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.209607061847511,0.42097341558103274,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,35,019f655a-a342-7ddc-8b79-4c4ec8c08743_0035,657;2383;3368;2715;1575,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.6084230805427582,1.5210577013568953,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,36,019f655a-a343-7747-a3ab-5e0b1830a098_0036,3550;1945;1409;4448;3602,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.7520504393917882,1.2451005022066624,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,37,019f655a-a344-7e0f-8514-41a66249c56f_0037,2884;4826;3311;3836;3288,180,900,720,720,0,20.0,,False,1.0,True,,False,0.9522131048540233,2.5316973457413554,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,38,019f655a-a345-7eca-91bb-43c16231a3de_0038,2463;2075;1488;1862;2407,180,900,900,900,0,0.0,10.0,True,,False,,False,1.501997252528858,3.7290628208854963,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,39,019f655a-a346-72d6-85f2-63f2c12c51ff_0039,4756;4073;2270;3006;530,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.4056424434315141,0.9299114254625784,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,40,019f655a-a347-7253-b024-bedce749490a_0040,564;4255;4033;3897;2365,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.7818193105689676,1.0065662862101703,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,41,019f655a-a348-7733-86d7-3dcf3a179343_0041,1740;249;2203;4888;4246,180,900,900,900,0,0.0,10.0,True,1.0,True,99.0,True,0.6052552363934225,1.1012915566789299,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,42,019f655a-a349-7777-9498-df77f0d87420_0042,2126;3240;1421;652;910,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.7193330297454236,1.7379041661704906,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,43,019f655a-a34a-73a7-ad20-a53c6a897a6f_0043,1652;4561;4361;1775;4215,180,900,900,900,0,0.0,10.0,True,117.0,True,,False,1.2067661757659323,1.7178229999817098,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,44,019f655a-a34b-7dcb-bac9-f025d99ad160_0044,747;3070;4787;3081;3872,180,900,720,720,0,20.0,,False,1.0,True,,False,0.5171061507808801,1.662530832279718,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,45,019f655a-a34c-7b10-8178-f8a4212b25d9_0045,3217;4523;3696;2620;760,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.5159237821261257,0.9919864717550027,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,46,019f655a-a34d-7fbf-80d3-68b55f6f26c9_0046,4798;2479;1367;4407;2979,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.38398212368343104,0.5900618423749354,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,47,019f655a-a34e-7030-addf-c16a59c3fb42_0047,1027;3337;2400;1089;328,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.6459084885451938,1.2453273278829937,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,48,019f655a-a34f-73f9-81ce-44658756cbad_0048,1428;1835;4495;4407;973,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.9314186081378825,1.8220201798050961,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,49,019f655a-a350-7791-ba49-95953f554d10_0049,3828;1195;1404;4809;3614,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.7235747657635544,1.3777669810662654,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,5,0,019f655a-ab07-7cea-89da-91e002f1e9a0_0000,3412;83;2446;3018;1586,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.4916308323899695,0.6320884419022663,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,5,1,019f655a-ab08-7c18-8feb-472d472e1a84_0001,4882;2702;329;1903;981,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.5533988134980723,1.383497033745181,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,5,2,019f655a-ab09-7dd1-b274-4ed4399dab93_0002,1226;655;4054;1351;2748,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.5358441259494648,0.8484661426759388,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,5,3,019f655a-ab0a-796d-a476-7dfbeaa0a7c0_0003,1106;4349;1910;2705;4651,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.3795161065792799,0.6186784272647179,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,5,4,019f655a-ab0b-7aa8-84a3-2aca89e2ede5_0004,1708;2458;2582;3180;618,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.6838547904390321,1.5965396405683479,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,5,5,019f655a-ab0c-7ea5-8dff-426f33914849_0005,1241;4820;4355;2665;4817,180,900,720,720,0,20.0,,False,1.0,True,1.0,True,0.5364891354228034,0.7466889217153181,1.224537524338598,5.0,20.544,25.544
