coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total
LINEAR,20,1000.0,50,19.34722222222222,,0.0,,0.0,1.0,100.0,,10.0,0.3944338562087033,1.1890672423082478,0.03688487391026904,0
LINEAR,20,1500.0,50,16.02777777777778,85.0,34.0,,0.0,1.0,100.0,,50.0,0.41676598771627543,1.3217928833958275,0.038027748113235504,0
LINEAR,20,2000.0,50,68.75,,0.0,,0.0,1.0,100.0,,0.0,0.9320058190079126,0.9424778224173704,1.2566370227388082,0
LINEAR,50,1.0,50,8.6,158.0,10.0,,2.0,1.0,100.0,1.0,100.0,0.03915323137236883,0.20215794781856772,0.062354544478479934,0
LINEAR,50,2.0,50,5.188888888888889,127.0,57.99999999999999,150.5,62.0,1.0,100.0,1.0,100.0,0.02284266347478245,0.08059957008769193,0.08834090922919136,0
LINEAR,50,3.0,50,3.6333333333333333,108.0,92.0,101.0,88.0,1.0,100.0,1.0,100.0,0.0134897408757244,0.04806200300144795,0.10001913240223603,0
LINEAR,50,5.0,50,2.111111111111111,62.0,96.0,63.5,100.0,1.0,100.0,1.0,100.0,0.013245785458458809,0.04144091445944526,0.09667819911788471,0
LINEAR,50,7.0,50,1.577777777777778,48.0,100.0,45.5,98.0,1.0,100.0,1.0,100.0,0.014921004933701621,0.05093653254354306,0.09097023639602209,0
LINEAR,50,10.0,50,1.0333333333333334,32.5,100.0,32.5,94.0,1.0,100.0,1.0,100.0,0.018022352252880215,0.058378423330608456,0.08281487307395469,0
LINEAR,50,15.0,50,0.7222222222222222,26.0,100.0,22.5,92.0,1.0,100.0,1.0,100.0,0.02347492231151415,0.06898396684340849,0.07337076062049352,0
LINEAR,50,20.0,50,0.5944444444444444,21.0,100.0,19.0,88.0,1.0,100.0,1.0,100.0,0.024179306120104396,0.07611881927400815,0.06694284204677757,0
