coupling_function,phi_original_rad,phase_difference_wrapped_rad,coupling_function_value
KURAMOTO,-1.2653637076958888,-1.2653637076958888,-0.9537169507482268
KURAMOTO,-1.2566370614359172,-1.2566370614359172,-0.9510565162951536
KURAMOTO,-1.2479104151759457,-1.2479104151759457,-0.9483236552061992
KURAMOTO,-1.239183768915974,-1.239183768915974,-0.9455185755993168
KURAMOTO,-1.2304571226560022,-1.2304571226560022,-0.9426414910921784
KURAMOTO,-1.2217304763960306,-1.2217304763960306,-0.9396926207859084
KURAMOTO,-1.213003830136059,-1.213003830136059,-0.9366721892483976
KURAMOTO,-1.2042771838760873,-1.2042771838760873,-0.9335804264972016
KURAMOTO,-1.1955505376161155,-1.1955505376161155,-0.9304175679820246
KURAMOTO,-1.186823891356144,-1.186823891356144,-0.9271838545667872
KURAMOTO,-1.1780972450961724,-1.1780972450961724,-0.9238795325112868
KURAMOTO,-1.1693705988362006,-1.1693705988362006,-0.9205048534524404
KURAMOTO,-1.160643952576229,-1.160643952576229,-0.917060074385124
KURAMOTO,-1.151917306316257,-1.151917306316257,-0.9135454576426008
KURAMOTO,-1.1431906600562858,-1.1431906600562858,-0.9099612708765432
KURAMOTO,-1.1344640137963142,-1.1344640137963142,-0.90630778703665
KURAMOTO,-1.125737367536343,-1.1257373675363427,-0.9025852843498606
KURAMOTO,-1.117010721276371,-1.1170107212763707,-0.8987940462991669
KURAMOTO,-1.1082840750163991,-1.1082840750163991,-0.894934361602025
KURAMOTO,-1.0995574287564276,-1.0995574287564276,-0.8910065241883678
KURAMOTO,-1.090830782496456,-1.090830782496456,-0.8870108331782217
KURAMOTO,-1.082104136236484,-1.082104136236484,-0.8829475928589268
KURAMOTO,-1.0733774899765125,-1.0733774899765125,-0.8788171126619653
KURAMOTO,-1.064650843716541,-1.064650843716541,-0.8746197071393957
KURAMOTO,-1.0559241974565694,-1.0559241974565694,-0.8703556959398997
KURAMOTO,-1.047197551196598,-1.0471975511965983,-0.8660254037844387
KURAMOTO,-1.038470904936626,-1.0384709049366263,-0.8616291604415256
KURAMOTO,-1.0297442586766543,-1.0297442586766543,-0.8571673007021122
KURAMOTO,-1.0210176124166828,-1.0210176124166828,-0.8526401643540922
KURAMOTO,-1.0122909661567112,-1.0122909661567112,-0.8480480961564261
KURAMOTO,-1.0035643198967392,-1.0035643198967392,-0.8433914458128855
KURAMOTO,-0.9948376736367676,-0.9948376736367677,-0.8386705679454239
KURAMOTO,-0.986111027376796,-0.9861110273767961,-0.8338858220671681
KURAMOTO,-0.9773843811168246,-0.9773843811168246,-0.8290375725550417
KURAMOTO,-0.968657734856853,-0.968657734856853,-0.8241261886220157
KURAMOTO,-0.959931088596881,-0.959931088596881,-0.8191520442889917
KURAMOTO,-0.9512044423369096,-0.9512044423369095,-0.8141155183563191
KURAMOTO,-0.942477796076938,-0.9424777960769379,-0.8090169943749475
KURAMOTO,-0.9337511498169664,-0.9337511498169664,-0.8038568606172174
KURAMOTO,-0.9250245035569944,-0.9250245035569944,-0.7986355100472927
KURAMOTO,-0.9162978572970228,-0.9162978572970228,-0.793353340291235
KURAMOTO,-0.9075712110370512,-0.9075712110370513,-0.7880107536067219
KURAMOTO,-0.8988445647770797,-0.8988445647770797,-0.7826081568524139
KURAMOTO,-0.8901179185171082,-0.8901179185171082,-0.7771459614569709
KURAMOTO,-0.8813912722571362,-0.8813912722571362,-0.7716245833877198
KURAMOTO,-0.8726646259971647,-0.8726646259971647,-0.7660444431189779
KURAMOTO,-0.8639379797371931,-0.8639379797371931,-0.7604059656000309
KURAMOTO,-0.8552113334772216,-0.8552113334772216,-0.754709580222772
KURAMOTO,-0.8464846872172496,-0.8464846872172496,-0.748955720789002
KURAMOTO,-0.837758040957278,-0.837758040957278,-0.7431448254773941
KURAMOTO,-0.8290313946973065,-0.8290313946973065,-0.737277336810124
KURAMOTO,-0.8203047484373349,-0.8203047484373349,-0.7313537016191705
KURAMOTO,-0.8115781021773634,-0.8115781021773634,-0.7253743710122877
KURAMOTO,-0.8028514559173914,-0.8028514559173914,-0.719339800338651
KURAMOTO,-0.7941248096574198,-0.7941248096574198,-0.7132504491541815
KURAMOTO,-0.7853981633974483,-0.7853981633974483,-0.7071067811865476
KURAMOTO,-0.7766715171374767,-0.7766715171374767,-0.7009092642998509
KURAMOTO,-0.7679448708775047,-0.7679448708775047,-0.694658370458997
KURAMOTO,-0.7592182246175332,-0.7592182246175332,-0.6883545756937538
KURAMOTO,-0.7504915783575616,-0.7504915783575616,-0.6819983600624985
KURAMOTO,-0.7417649320975901,-0.7417649320975901,-0.6755902076156602
KURAMOTO,-0.7330382858376185,-0.7330382858376185,-0.6691306063588583
KURAMOTO,-0.7243116395776465,-0.7243116395776465,-0.6626200482157373
KURAMOTO,-0.715584993317675,-0.715584993317675,-0.6560590289905072
KURAMOTO,-0.7068583470577035,-0.7068583470577035,-0.6494480483301837
KURAMOTO,-0.6981317007977319,-0.6981317007977319,-0.6427876096865394
