coupling_function,phi_original_rad,phase_difference_wrapped_rad,coupling_function_value
KURAMOTO,-1.832595714594046,-1.832595714594046,-0.9659258262890684
KURAMOTO,-1.8238690683340744,-1.8238690683340744,-0.9681476403781076
KURAMOTO,-1.8151424220741024,-1.8151424220741024,-0.9702957262759964
KURAMOTO,-1.806415775814131,-1.806415775814131,-0.9723699203976768
KURAMOTO,-1.7976891295541593,-1.7976891295541593,-0.9743700647852352
KURAMOTO,-1.7889624832941875,-1.7889624832941875,-0.9762960071199334
KURAMOTO,-1.7802358370342162,-1.7802358370342162,-0.9781476007338056
KURAMOTO,-1.7715091907742444,-1.7715091907742444,-0.9799247046208296
KURAMOTO,-1.7627825445142729,-1.7627825445142729,-0.981627183447664
KURAMOTO,-1.754055898254301,-1.754055898254301,-0.9832549075639546
KURAMOTO,-1.7453292519943295,-1.7453292519943295,-0.984807753012208
KURAMOTO,-1.7366026057343578,-1.7366026057343578,-0.9862856015372314
KURAMOTO,-1.7278759594743862,-1.7278759594743862,-0.9876883405951378
KURAMOTO,-1.7191493132144144,-1.7191493132144144,-0.9890158633619168
KURAMOTO,-1.710422666954443,-1.710422666954443,-0.9902680687415704
KURAMOTO,-1.7016960206944711,-1.7016960206944711,-0.9914448613738104
KURAMOTO,-1.6929693744344996,-1.6929693744344996,-0.992546151641322
KURAMOTO,-1.684242728174528,-1.684242728174528,-0.9935718556765876
KURAMOTO,-1.6755160819145565,-1.6755160819145565,-0.9945218953682734
KURAMOTO,-1.6667894356545847,-1.6667894356545847,-0.9953961983671789
KURAMOTO,-1.658062789394613,-1.658062789394613,-0.9961946980917455
KURAMOTO,-1.6493361431346414,-1.6493361431346414,-0.996917333733128
KURAMOTO,-1.6406094968746696,-1.6406094968746696,-0.9975640502598244
KURAMOTO,-1.631882850614698,-1.631882850614698,-0.998134798421867
KURAMOTO,-1.6231562043547263,-1.6231562043547263,-0.9986295347545738
KURAMOTO,-1.6144295580947547,-1.6144295580947547,-0.9990482215818578
KURAMOTO,-1.6057029118347832,-1.6057029118347832,-0.9993908270190958
KURAMOTO,-1.5969762655748114,-1.5969762655748114,-0.9996573249755571
KURAMOTO,-1.58824961931484,-1.58824961931484,-0.9998476951563912
KURAMOTO,-1.579522973054868,-1.579522973054868,-0.9999619230641712
KURAMOTO,-1.5707963267948966,-1.5707963267948966,-1.0
KURAMOTO,-1.5620696805349248,-1.5620696805349248,-0.9999619230641712
KURAMOTO,-1.5533430342749532,-1.5533430342749532,-0.9998476951563912
KURAMOTO,-1.5446163880149817,-1.5446163880149817,-0.9996573249755571
KURAMOTO,-1.53588974175501,-1.53588974175501,-0.9993908270190958
KURAMOTO,-1.5271630954950384,-1.5271630954950384,-0.9990482215818578
KURAMOTO,-1.5184364492350666,-1.5184364492350666,-0.9986295347545738
KURAMOTO,-1.509709802975095,-1.509709802975095,-0.9981347984218668
KURAMOTO,-1.5009831567151233,-1.5009831567151233,-0.9975640502598242
KURAMOTO,-1.4922565104551515,-1.4922565104551515,-0.996917333733128
KURAMOTO,-1.48352986419518,-1.48352986419518,-0.9961946980917455
KURAMOTO,-1.4748032179352084,-1.4748032179352084,-0.9953961983671789
KURAMOTO,-1.4660765716752366,-1.4660765716752366,-0.9945218953682732
KURAMOTO,-1.457349925415265,-1.457349925415265,-0.9935718556765876
KURAMOTO,-1.4486232791552935,-1.4486232791552935,-0.992546151641322
KURAMOTO,-1.4398966328953218,-1.4398966328953218,-0.9914448613738104
KURAMOTO,-1.4311699866353502,-1.4311699866353502,-0.9902680687415704
KURAMOTO,-1.4224433403753785,-1.4224433403753785,-0.9890158633619168
KURAMOTO,-1.413716694115407,-1.413716694115407,-0.9876883405951378
KURAMOTO,-1.4049900478554351,-1.4049900478554351,-0.9862856015372312
KURAMOTO,-1.3962634015954636,-1.3962634015954636,-0.984807753012208
KURAMOTO,-1.3875367553354918,-1.3875367553354918,-0.9832549075639544
KURAMOTO,-1.3788101090755205,-1.3788101090755205,-0.981627183447664
KURAMOTO,-1.3700834628155487,-1.3700834628155487,-0.9799247046208296
KURAMOTO,-1.361356816555577,-1.361356816555577,-0.9781476007338056
KURAMOTO,-1.3526301702956054,-1.3526301702956054,-0.9762960071199334
KURAMOTO,-1.3439035240356336,-1.3439035240356336,-0.9743700647852352
KURAMOTO,-1.335176877775662,-1.335176877775662,-0.9723699203976766
KURAMOTO,-1.3264502315156903,-1.3264502315156903,-0.9702957262759964
KURAMOTO,-1.3177235852557188,-1.3177235852557188,-0.9681476403781076
KURAMOTO,-1.308996938995747,-1.308996938995747,-0.9659258262890682
KURAMOTO,-1.3002702927357754,-1.3002702927357754,-0.963630453208623
KURAMOTO,-1.291543646475804,-1.291543646475804,-0.9612616959383188
KURAMOTO,-1.282817000215832,-1.282817000215832,-0.958819734868193
KURAMOTO,-1.2740903539558606,-1.2740903539558606,-0.9563047559630354
