coupling_function,phase_difference_rad,coupling_function_value
KURAMOTO,-0.8552113334772216,-0.754709580222772
KURAMOTO,-0.8464846872172496,-0.748955720789002
KURAMOTO,-0.837758040957278,-0.7431448254773941
KURAMOTO,-0.8290313946973065,-0.737277336810124
KURAMOTO,-0.8203047484373349,-0.7313537016191705
KURAMOTO,-0.8115781021773634,-0.7253743710122877
KURAMOTO,-0.8028514559173914,-0.719339800338651
KURAMOTO,-0.7941248096574198,-0.7132504491541815
KURAMOTO,-0.7853981633974483,-0.7071067811865476
KURAMOTO,-0.7766715171374767,-0.7009092642998509
KURAMOTO,-0.7679448708775047,-0.694658370458997
KURAMOTO,-0.7592182246175332,-0.6883545756937538
KURAMOTO,-0.7504915783575616,-0.6819983600624985
KURAMOTO,-0.7417649320975901,-0.6755902076156602
KURAMOTO,-0.7330382858376185,-0.6691306063588583
KURAMOTO,-0.7243116395776465,-0.6626200482157373
KURAMOTO,-0.715584993317675,-0.6560590289905072
KURAMOTO,-0.7068583470577035,-0.6494480483301837
KURAMOTO,-0.6981317007977319,-0.6427876096865394
KURAMOTO,-0.6894050545377599,-0.6360782202777637
KURAMOTO,-0.6806784082777884,-0.6293203910498373
KURAMOTO,-0.6719517620178168,-0.6225146366376195
KURAMOTO,-0.6632251157578453,-0.6156614753256583
KURAMOTO,-0.6544984694978737,-0.6087614290087208
KURAMOTO,-0.6457718232379017,-0.601815023152048
KURAMOTO,-0.6370451769779302,-0.5948227867513411
KURAMOTO,-0.6283185307179586,-0.5877852522924731
KURAMOTO,-0.6195918844579871,-0.5807029557109398
KURAMOTO,-0.6108652381980151,-0.5735764363510458
KURAMOTO,-0.6021385919380435,-0.5664062369248327
KURAMOTO,-0.593411945678072,-0.5591929034707468
KURAMOTO,-0.5846852994181004,-0.5519369853120581
KURAMOTO,-0.5759586531581289,-0.5446390350150272
KURAMOTO,-0.5672320068981569,-0.5372996083468237
KURAMOTO,-0.5585053606381853,-0.5299192642332049
KURAMOTO,-0.5497787143782138,-0.5224985647159488
KURAMOTO,-0.5410520681182422,-0.5150380749100543
KURAMOTO,-0.5323254218582703,-0.507538362960704
KURAMOTO,-0.5235987755982987,-0.49999999999999983
