run_id,final_10_cycle_adjacent_phase_gap_std_mean_rad,final_10_observed_cycle_count,coupling_function,device_count,k
019f6674-459b-76cf-a8c6-6e15564181b3_0136,0.42699292207134915,10,LINEAR,10,2
019f6674-459c-74ef-9a44-bc287cac0c93_0137,0.2652127885992162,10,LINEAR,10,2
019f6674-459d-7df3-af01-558bb8f27b2b_0138,0.2899361319691391,10,LINEAR,10,2
019f6674-459e-7400-96f9-715d5eef9e57_0139,0.20498924074720587,10,LINEAR,10,2
019f6674-459f-780e-9a5e-c4a395205683_0140,0.34549415905494213,10,LINEAR,10,2
019f6674-45a0-7957-be0e-4a5c2f2d3507_0141,0.3704444129185896,10,LINEAR,10,2
019f6674-45a1-7652-825c-59c7e5a4bfce_0142,0.258501381602539,10,LINEAR,10,2
019f6674-45a2-773f-b3a7-8a5c98aa0494_0143,0.5073479969500919,10,LINEAR,10,2
019f6674-45a3-77c8-8125-3be7b54d2336_0144,0.4653702082686698,10,LINEAR,10,2
019f6674-45a4-70a6-9b5f-f9759ea4365e_0145,0.3967905782400864,10,LINEAR,10,2
019f6674-45a5-7d91-9638-ef128ed440e2_0146,0.8761565965199345,10,LINEAR,10,2
019f6674-45a6-7643-b0c1-c4d04f66e0b1_0147,0.683012750823915,10,LINEAR,10,2
019f6674-45a7-7b26-89a2-6ff122efe937_0148,0.17925484468947211,10,LINEAR,10,2
019f6674-45a8-750a-a8c4-c4f79e68e78d_0149,0.3888875170071623,10,LINEAR,10,2
019f6674-45a9-7b98-86d9-7bc9ef6ad7fa_0150,0.2030647103061806,10,LINEAR,10,2
019f6674-45aa-777e-ac3d-297e324cc24e_0151,0.41432755423895096,10,LINEAR,10,2
019f6674-45ab-78f2-9ca2-f20eca39f375_0152,0.41389678346375797,10,LINEAR,10,2
019f6674-45ac-794f-9e15-3f72b036bf65_0153,0.2646041154857449,10,LINEAR,10,2
019f6674-45ad-7907-97cc-b934aa2d595a_0154,0.2718664433355123,10,LINEAR,10,2
019f6674-45ae-7913-af80-2a3368389337_0155,0.22507184349218173,10,LINEAR,10,2
019f6674-45af-75b7-b8a4-2c022c042b49_0156,0.5154858726939958,10,LINEAR,10,2
019f6674-45b0-750b-80a7-4bffd48a2b8f_0157,0.4710324757164638,10,LINEAR,10,2
019f6674-45b1-7b68-ae49-8c4eab81d7c2_0158,0.4151182349152608,10,LINEAR,10,2
019f6674-45b2-7cc9-af16-f7ac0848c305_0159,0.5704460650831349,10,LINEAR,10,2
019f6674-45b3-7857-9712-4fcdfa942799_0160,0.41960287390444384,10,LINEAR,10,2
019f6674-45b4-738d-a1a4-70f4deca8b32_0161,0.34536705524820666,10,LINEAR,10,2
