function,label,delta_rad,coupling_value
NewSIN,1-sin based,-1.4660765716752366,-0.00547810463172671
NewSIN,1-sin based,-1.457349925415265,-0.0064281443234124325
NewSIN,1-sin based,-1.4486232791552935,-0.007453848358677906
NewSIN,1-sin based,-1.4398966328953218,-0.008555138626189507
NewSIN,1-sin based,-1.4311699866353502,-0.009731931258429638
NewSIN,1-sin based,-1.4224433403753785,-0.010984136638083064
NewSIN,1-sin based,-1.413716694115407,-0.01231165940486223
NewSIN,1-sin based,-1.4049900478554351,-0.013714398462768562
NewSIN,1-sin based,-1.3962634015954636,-0.015192246987791869
NewSIN,1-sin based,-1.3875367553354918,-0.016745092436045383
NewSIN,1-sin based,-1.3788101090755203,-0.018372816552336135
NewSIN,1-sin based,-1.3700834628155487,-0.0200752953791703
NewSIN,1-sin based,-1.361356816555577,-0.021852399266194422
NewSIN,1-sin based,-1.3526301702956054,-0.023703992880066527
NewSIN,1-sin based,-1.3439035240356336,-0.025629935214764754
NewSIN,1-sin based,-1.335176877775662,-0.02763007960232322
NewSIN,1-sin based,-1.3264502315156903,-0.029704273724003416
NewSIN,1-sin based,-1.3177235852557188,-0.03185235962189226
NewSIN,1-sin based,-1.308996938995747,-0.03407417371093158
NewSIN,1-sin based,-1.3002702927357754,-0.03636954679137694
NewSIN,1-sin based,-1.2915436464758039,-0.03873830406168122
NewSIN,1-sin based,-1.2828170002158321,-0.04118026513180684
NewSIN,1-sin based,-1.2740903539558606,-0.043695244036964564
NewSIN,1-sin based,-1.2653637076958888,-0.04628304925177318
NewSIN,1-sin based,-1.2566370614359172,-0.04894348370484636
NewSIN,1-sin based,-1.2479104151759455,-0.05167634479380068
NewSIN,1-sin based,-1.239183768915974,-0.05448142440068304
NewSIN,1-sin based,-1.2304571226560022,-0.05735850890782157
NewSIN,1-sin based,-1.2217304763960306,-0.06030737921409146
NewSIN,1-sin based,-1.213003830136059,-0.06332781075160232
NewSIN,1-sin based,-1.2042771838760873,-0.06641957350279826
