function,label,residual_column,time_point_min,k,residual_phase_spacing_error,n_runs
KURAMOTO,Kuramoto based,residual_3min_median,3,261.0,0.0374296688036398,500
KURAMOTO,Kuramoto based,residual_3min_median,3,271.0,0.0373740780385888,500
KURAMOTO,Kuramoto based,residual_3min_median,3,281.0,0.0373691096742423,500
KURAMOTO,Kuramoto based,residual_3min_median,3,291.0,0.0369364276857147,500
KURAMOTO,Kuramoto based,residual_3min_median,3,301.0,0.0370084428281401,500
KURAMOTO,Kuramoto based,residual_3min_median,3,311.0,0.037140946457151,500
KURAMOTO,Kuramoto based,residual_3min_median,3,321.0,0.0371609824338933,500
KURAMOTO,Kuramoto based,residual_3min_median,3,331.0,0.0374925589505013,500
KURAMOTO,Kuramoto based,residual_3min_median,3,341.0,0.0372797589415334,500
KURAMOTO,Kuramoto based,residual_3min_median,3,351.0,0.0370897821255032,500
KURAMOTO,Kuramoto based,residual_3min_median,3,361.0,0.0376097027634481,500
KURAMOTO,Kuramoto based,residual_3min_median,3,371.0,0.0377474803508153,500
KURAMOTO,Kuramoto based,residual_3min_median,3,381.0,0.0379532937453468,500
KURAMOTO,Kuramoto based,residual_3min_median,3,391.0,0.0381939827526934,500
KURAMOTO,Kuramoto based,residual_3min_median,3,401.0,0.0385726653895394,500
KURAMOTO,Kuramoto based,residual_3min_median,3,411.0,0.0388823714115803,500
KURAMOTO,Kuramoto based,residual_3min_median,3,421.0,0.0389041095783633,500
KURAMOTO,Kuramoto based,residual_3min_median,3,431.0,0.0391170911302088,500
KURAMOTO,Kuramoto based,residual_3min_median,3,441.0,0.0394514576525029,500
KURAMOTO,Kuramoto based,residual_3min_median,3,451.0,0.0400215105931176,500
KURAMOTO,Kuramoto based,residual_3min_median,3,461.0,0.0401384547354134,500
KURAMOTO,Kuramoto based,residual_3min_median,3,471.0,0.0404349897596407,500
KURAMOTO,Kuramoto based,residual_3min_median,3,481.0,0.04077392155397,500
KURAMOTO,Kuramoto based,residual_3min_median,3,491.0,0.0412973151779068,500
KURAMOTO,Kuramoto based,residual_3min_median,3,501.0,0.0416270082750571,500
KURAMOTO,Kuramoto based,residual_3min_median,3,511.0,0.0417967314830032,500
KURAMOTO,Kuramoto based,residual_3min_median,3,521.0,0.04235303421663,500
KURAMOTO,Kuramoto based,residual_3min_median,3,531.0,0.0425663083018954,500
KURAMOTO,Kuramoto based,residual_3min_median,3,541.0,0.0429388008075844,500
KURAMOTO,Kuramoto based,residual_3min_median,3,551.0,0.0433911127684006,500
KURAMOTO,Kuramoto based,residual_3min_median,3,561.0,0.043875093218065,500
KURAMOTO,Kuramoto based,residual_3min_median,3,571.0,0.0440860028704854,500
KURAMOTO,Kuramoto based,residual_3min_median,3,581.0,0.0448122018702362,500
KURAMOTO,Kuramoto based,residual_3min_median,3,591.0,0.0451955115227574,500
KURAMOTO,Kuramoto based,residual_3min_median,3,601.0,0.045421501753158,500
KURAMOTO,Kuramoto based,residual_3min_median,3,611.0,0.0460450566884636,500
KURAMOTO,Kuramoto based,residual_3min_median,3,621.0,0.0464574385523009,500
KURAMOTO,Kuramoto based,residual_3min_median,3,631.0,0.0469903391011125,500
KURAMOTO,Kuramoto based,residual_3min_median,3,641.0,0.0477567011963808,500
KURAMOTO,Kuramoto based,residual_3min_median,3,651.0,0.0478826873858905,500
KURAMOTO,Kuramoto based,residual_3min_median,3,661.0,0.0484715990692335,500
KURAMOTO,Kuramoto based,residual_3min_median,3,671.0,0.0489984770917527,500
KURAMOTO,Kuramoto based,residual_3min_median,3,681.0,0.0494930201308957,500
KURAMOTO,Kuramoto based,residual_3min_median,3,691.0,0.0500153129120996,500
KURAMOTO,Kuramoto based,residual_3min_median,3,701.0,0.0502690462166835,500
KURAMOTO,Kuramoto based,residual_3min_median,3,711.0,0.0510300295733852,500
KURAMOTO,Kuramoto based,residual_3min_median,3,721.0,0.0512935229191248,500
KURAMOTO,Kuramoto based,residual_3min_median,3,731.0,0.0519480404170094,500
KURAMOTO,Kuramoto based,residual_3min_median,3,741.0,0.0522825961531215,500
KURAMOTO,Kuramoto based,residual_3min_median,3,751.0,0.0525127282730343,500
KURAMOTO,Kuramoto based,residual_3min_median,3,761.0,0.0530508204424122,500
KURAMOTO,Kuramoto based,residual_3min_median,3,771.0,0.0533178516290984,500
KURAMOTO,Kuramoto based,residual_3min_median,3,781.0,0.053555719675837,500
KURAMOTO,Kuramoto based,residual_3min_median,3,791.0,0.0540460697839196,500
KURAMOTO,Kuramoto based,residual_3min_median,3,801.0,0.054331534287079,500
KURAMOTO,Kuramoto based,residual_3min_median,3,811.0,0.0549921487447233,500
KURAMOTO,Kuramoto based,residual_3min_median,3,821.0,0.0553643323436373,500
KURAMOTO,Kuramoto based,residual_3min_median,3,831.0,0.0555404596185354,500
KURAMOTO,Kuramoto based,residual_3min_median,3,841.0,0.055935822443788,500
KURAMOTO,Kuramoto based,residual_3min_median,3,851.0,0.0561051786075383,500
KURAMOTO,Kuramoto based,residual_3min_median,3,861.0,0.056491866890994,500
KURAMOTO,Kuramoto based,residual_3min_median,3,871.0,0.0570776576235762,500
KURAMOTO,Kuramoto based,residual_3min_median,3,881.0,0.0571420113162552,500
KURAMOTO,Kuramoto based,residual_3min_median,3,891.0,0.0574567799600244,500
KURAMOTO,Kuramoto based,residual_3min_median,3,901.0,0.0579131316617867,500
KURAMOTO,Kuramoto based,residual_3min_median,3,911.0,0.0579977596683011,500
KURAMOTO,Kuramoto based,residual_3min_median,3,921.0,0.0584427385715864,500
KURAMOTO,Kuramoto based,residual_3min_median,3,931.0,0.0586681615388834,500
KURAMOTO,Kuramoto based,residual_3min_median,3,941.0,0.0593242568946188,500
KURAMOTO,Kuramoto based,residual_3min_median,3,951.0,0.0595252418330364,500
KURAMOTO,Kuramoto based,residual_3min_median,3,961.0,0.0598313174021856,500
KURAMOTO,Kuramoto based,residual_3min_median,3,971.0,0.0603442205322214,500
KURAMOTO,Kuramoto based,residual_3min_median,3,981.0,0.0602674605483408,500
KURAMOTO,Kuramoto based,residual_3min_median,3,991.0,0.0608970402921507,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1001.0,0.060839624003837,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1011.0,0.0612719823788741,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1021.0,0.0614200437777476,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1031.0,0.0620476749908423,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1041.0,0.0619667680020345,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1051.0,0.0623461088357189,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1061.0,0.0626003551355859,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1071.0,0.062837486783125,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1081.0,0.0630819682158192,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1091.0,0.0632580055490233,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1101.0,0.0635518517970733,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1111.0,0.0637989360268806,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1121.0,0.0639821218137284,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1131.0,0.0643735987947006,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1141.0,0.0644457215274979,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1151.0,0.0643090935086853,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1161.0,0.0651401481360458,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1171.0,0.0649731843473135,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1181.0,0.0653104197186475,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1191.0,0.0655740467705206,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1201.0,0.0658230383971637,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1211.0,0.0658312755279676,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1221.0,0.0661354385740532,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1231.0,0.0660155520741634,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1241.0,0.0661265681223434,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1251.0,0.0663843127453675,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1261.0,0.066966486273593,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1271.0,0.0668597890946569,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1281.0,0.0669370753899879,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1291.0,0.0670714356465095,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1301.0,0.0673664152864278,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1311.0,0.0675887429324645,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1321.0,0.0674786678147448,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1331.0,0.0676970859461993,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1341.0,0.0677985764293749,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1351.0,0.0682028587626066,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1361.0,0.0682201686370385,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1371.0,0.0683237601082912,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1381.0,0.0685059897975905,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1391.0,0.0680434734365961,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1401.0,0.0685528808662382,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1411.0,0.0688954805271473,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1421.0,0.0685714190817126,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1431.0,0.0687908751659572,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1441.0,0.0691149285289502,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1451.0,0.0688084598132768,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1461.0,0.0691414246547813,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1471.0,0.0690728569654068,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1481.0,0.0690705386792749,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1491.0,0.0695897813385253,500
LINEAR,frog chorus based,residual_median,30,1.0,0.0389878868018989,499
LINEAR,frog chorus based,residual_median,30,2.0,0.0219620919864286,499
LINEAR,frog chorus based,residual_median,30,3.0,0.0142884348278048,500
LINEAR,frog chorus based,residual_median,30,4.0,0.0128090912189966,500
LINEAR,frog chorus based,residual_median,30,5.0,0.0137036325472703,500
