function,label,k,overall_per_mean,residual_median,residual_3min_median
LINEAR,frog chorus based,51.0,2.048711111111112,0.0370248183603411,0.040980144360976
LINEAR,frog chorus based,52.0,2.0962,0.037122955478288,0.0414819497696971
LINEAR,frog chorus based,53.0,2.234866666666667,0.0372500637941948,0.0418670446774643
LINEAR,frog chorus based,54.0,2.2348666666666674,0.0377588495051489,0.0422802687543353
LINEAR,frog chorus based,55.0,2.223333333333333,0.0380787877089746,0.0426283650775921
LINEAR,frog chorus based,56.0,2.337355555555556,0.0384595649169122,0.0430345887124091
LINEAR,frog chorus based,57.0,2.3882,0.0389165779615503,0.0434308009278711
LINEAR,frog chorus based,58.0,2.451955555555555,0.0391627318145458,0.0436075636480803
LINEAR,frog chorus based,59.0,2.491511111111111,0.0395967076353003,0.0440385960507626
LINEAR,frog chorus based,60.0,2.592488888888889,0.0400228438312967,0.0443345615024277
LINEAR,frog chorus based,61.0,2.601488888888889,0.040449926641039,0.0449080213158397
LINEAR,frog chorus based,62.0,2.6894444444444443,0.0407102347732745,0.0451949789460195
LINEAR,frog chorus based,63.0,2.7407111111111115,0.0411997459556229,0.0454802032632767
LINEAR,frog chorus based,64.0,2.7974666666666668,0.0415852171331662,0.0456314651244196
LINEAR,frog chorus based,65.0,2.8634,0.0420856441081503,0.0460696114837412
LINEAR,frog chorus based,66.0,2.877666666666666,0.042513846578299,0.0462572610874819
LINEAR,frog chorus based,67.0,2.965044444444444,0.0428641669588245,0.046404646676534
LINEAR,frog chorus based,68.0,2.993266666666667,0.0432317077559356,0.0467930300314578
LINEAR,frog chorus based,69.0,3.090844444444445,0.0436497791279685,0.0469730688746923
LINEAR,frog chorus based,70.0,3.0860222222222222,0.044151359446309,0.0473217254378023
LINEAR,frog chorus based,71.0,3.1542222222222227,0.0444285070519678,0.047540497231637
LINEAR,frog chorus based,72.0,3.1868,0.0449439358584322,0.0476875162624977
LINEAR,frog chorus based,73.0,3.244133333333333,0.0454209152507439,0.0479665113015219
LINEAR,frog chorus based,74.0,3.290222222222223,0.0458999712780838,0.0484676816071702
LINEAR,frog chorus based,75.0,3.434022222222222,0.046178041986614,0.0485810953941821
LINEAR,frog chorus based,76.0,3.484066666666666,0.04668354116625,0.0489319889939207
LINEAR,frog chorus based,77.0,3.5987111111111107,0.0471396067597493,0.0493386676095144
LINEAR,frog chorus based,78.0,3.5758444444444444,0.0475855775036201,0.0494857981618887
